Date,Start (ET),Visitor/Neutral,PTS-V,Home/Neutral,PTS-H
Sun Dec 17 2017,4:00p,ORL,110,DET,114
Sun Dec 17 2017,3:30p,SAC,93,TOR,108
Sun Dec 17 2017,6:00p,CLE,106,WAS,99
Mon Dec 18 2017,7:30p,MIA,104,ATL,110
Mon Dec 18 2017,8:00p,PHI,115,CHI,117
Mon Dec 18 2017,7:00p,NYK,91,CHO,109
Mon Dec 18 2017,8:30p,PHO,97,DAL,91
Mon Dec 18 2017,8:00p,UTA,99,HOU,120
Mon Dec 18 2017,7:00p,BOS,112,IND,111
Mon Dec 18 2017,10:30p,GSW,116,LAL,114
Mon Dec 18 2017,8:00p,POR,107,MIN,108
Mon Dec 18 2017,8:00p,DEN,94,OKC,95
Mon Dec 18 2017,8:30p,LAC,91,SAS,109
Tue Dec 19 2017,8:00p,CLE,116,MIL,119
Tue Dec 19 2017,7:00p,SAC,101,PHI,95
Tue Dec 19 2017,7:00p,NOP,106,WAS,116
Wed Dec 20 2017,7:30p,IND,105,ATL,95
Wed Dec 20 2017,7:30p,MIA,90,BOS,89
Wed Dec 20 2017,7:30p,SAC,104,BRK,99
Wed Dec 20 2017,8:00p,ORL,94,CHI,112
Wed Dec 20 2017,7:00p,TOR,129,CHO,111
Wed Dec 20 2017,8:30p,DET,93,DAL,110
Wed Dec 20 2017,9:00p,MIN,112,DEN,104
Wed Dec 20 2017,10:30p,MEM,84,GSW,97
Wed Dec 20 2017,8:00p,LAL,122,HOU,116
Wed Dec 20 2017,10:30p,PHO,95,LAC,108
Wed Dec 20 2017,8:00p,UTA,79,OKC,107
Wed Dec 20 2017,10:00p,SAS,93,POR,91
Thu Dec 21 2017,7:00p,CHI,112,CLE,115
Thu Dec 21 2017,8:00p,BOS,93,NYK,102
Thu Dec 21 2017,7:00p,TOR,114,PHI,109
Thu Dec 21 2017,9:00p,MEM,95,PHO,97
Thu Dec 21 2017,10:30p,SAS,89,UTA,100
Fri Dec 22 2017,7:30p,WAS,84,BRK,119
Fri Dec 22 2017,7:00p,NYK,101,DET,104
Fri Dec 22 2017,10:30p,LAL,106,GSW,113
Fri Dec 22 2017,8:00p,LAC,128,HOU,118
Fri Dec 22 2017,8:00p,DAL,101,MIA,113
Fri Dec 22 2017,8:00p,CHO,104,MIL,109
Fri Dec 22 2017,8:00p,ATL,117,OKC,120
Fri Dec 22 2017,7:00p,NOP,111,ORL,97
Fri Dec 22 2017,10:00p,DEN,102,POR,85
Sat Dec 23 2017,7:30p,DAL,107,ATL,112
Sat Dec 23 2017,7:30p,CHI,92,BOS,117
Sat Dec 23 2017,7:00p,MIL,106,CHO,111
Sat Dec 23 2017,8:30p,DEN,96,GSW,81
Sat Dec 23 2017,7:00p,BRK,119,IND,123
Sat Dec 23 2017,9:30p,POR,95,LAL,92
Sat Dec 23 2017,8:00p,LAC,112,MEM,115
Sat Dec 23 2017,8:00p,NOP,109,MIA,94
Sat Dec 23 2017,9:00p,MIN,115,PHO,106
Sat Dec 23 2017,10:00p,SAS,108,SAC,99
Sat Dec 23 2017,5:00p,PHI,86,TOR,102
Sat Dec 23 2017,8:00p,OKC,103,UTA,89
Sat Dec 23 2017,7:00p,ORL,103,WAS,130
Mon Dec 25 2017,5:30p,WAS,111,BOS,103
Mon Dec 25 2017,3:00p,CLE,92,GSW,99
Mon Dec 25 2017,10:30p,MIN,121,LAL,104
Mon Dec 25 2017,12:00p,PHI,105,NYK,98
Mon Dec 25 2017,8:00p,HOU,107,OKC,112
Tue Dec 26 2017,7:00p,TOR,93,DAL,98
Tue Dec 26 2017,9:00p,UTA,83,DEN,107
Tue Dec 26 2017,7:00p,IND,83,DET,107
Tue Dec 26 2017,10:30p,SAC,95,LAC,122
Tue Dec 26 2017,7:30p,ORL,89,MIA,107
Tue Dec 26 2017,8:00p,CHI,115,MIL,106
Tue Dec 26 2017,9:00p,MEM,97,PHO,99
Tue Dec 26 2017,8:30p,BRK,97,SAS,109
Wed Dec 27 2017,7:30p,WAS,99,ATL,113
Wed Dec 27 2017,8:00p,NYK,87,CHI,92
Wed Dec 27 2017,7:00p,BOS,102,CHO,91
Wed Dec 27 2017,10:30p,UTA,101,GSW,126
Wed Dec 27 2017,7:00p,DAL,98,IND,94
Wed Dec 27 2017,10:30p,MEM,109,LAL,99
Wed Dec 27 2017,8:00p,DEN,125,MIN,128
Wed Dec 27 2017,8:00p,BRK,113,NOP,128
Wed Dec 27 2017,8:00p,TOR,107,OKC,124
Wed Dec 27 2017,10:00p,CLE,95,SAC,109
Thu Dec 28 2017,8:00p,HOU,98,BOS,99
Thu Dec 28 2017,8:00p,MIN,96,MIL,102
Thu Dec 28 2017,7:00p,DET,89,ORL,102
Thu Dec 28 2017,10:30p,PHI,110,POR,114
Thu Dec 28 2017,8:30p,NYK,107,SAS,119
Fri Dec 29 2017,8:00p,IND,107,CHI,119
Fri Dec 29 2017,10:30p,CHO,111,GSW,100
Fri Dec 29 2017,10:30p,LAC,121,LAL,106
Fri Dec 29 2017,8:00p,BRK,111,MIA,87
Fri Dec 29 2017,8:00p,DAL,128,NOP,120
Fri Dec 29 2017,8:00p,MIL,97,OKC,95
Fri Dec 29 2017,10:00p,PHO,111,SAC,101
Fri Dec 29 2017,7:30p,ATL,98,TOR,111
Fri Dec 29 2017,7:00p,HOU,103,WAS,121
Sat Dec 30 2017,7:30p,POR,89,ATL,104
Sat Dec 30 2017,9:00p,PHI,107,DEN,102
Sat Dec 30 2017,7:00p,SAS,79,DET,93
Sat Dec 30 2017,8:30p,MEM,128,GSW,141
Sat Dec 30 2017,7:00p,NYK,105,NOP,103
Sat Dec 30 2017,7:00p,MIA,117,ORL,111
Sat Dec 30 2017,8:00p,CLE,101,UTA,104
Sun Dec 31 2017,5:30p,BRK,105,BOS,108
Sun Dec 31 2017,7:00p,LAL,142,HOU,148
Sun Dec 31 2017,5:00p,MIN,107,IND,90
Sun Dec 31 2017,7:00p,CHO,98,LAC,106
Sun Dec 31 2017,7:00p,DAL,116,OKC,113
Sun Dec 31 2017,8:00p,PHI,123,PHO,110
Sun Dec 31 2017,7:00p,MEM,114,SAC,96
Sun Dec 31 2017,3:30p,CHI,110,WAS,114
Mon Jan 1 2018,7:30p,ORL,95,BRK,98
Mon Jan 1 2018,8:00p,POR,124,CHI,120
Mon Jan 1 2018,8:00p,LAL,96,MIN,114
Mon Jan 1 2018,7:30p,MIL,127,TOR,131
Tue Jan 2 2018,7:00p,POR,110,CLE,127
Tue Jan 2 2018,10:30p,MEM,105,LAC,113
Tue Jan 2 2018,7:30p,SAS,100,NYK,91
Tue Jan 2 2018,9:00p,ATL,103,PHO,104
Tue Jan 2 2018,10:00p,CHO,131,SAC,111
Wed Jan 3 2018,8:00p,CLE,88,BOS,102
Wed Jan 3 2018,7:30p,MIN,97,BRK,98
Wed Jan 3 2018,8:00p,TOR,124,CHI,115
Wed Jan 3 2018,8:30p,GSW,125,DAL,122
Wed Jan 3 2018,9:00p,PHO,111,DEN,134
Wed Jan 3 2018,10:30p,OKC,133,LAL,96
Wed Jan 3 2018,7:30p,DET,104,MIA,111
Wed Jan 3 2018,8:00p,IND,101,MIL,122
Wed Jan 3 2018,7:00p,HOU,116,ORL,98
Wed Jan 3 2018,7:00p,SAS,106,PHI,112
Wed Jan 3 2018,9:00p,NOP,108,UTA,98
Wed Jan 3 2018,7:00p,NYK,103,WAS,121
Thu Jan 4 2018,8:00p,GSW,124,HOU,114
Thu Jan 4 2018,10:30p,OKC,127,LAC,117
Fri Jan 5 2018,7:00p,MIN,84,BOS,91
Fri Jan 5 2018,8:30p,CHI,127,DAL,124
Fri Jan 5 2018,9:00p,UTA,91,DEN,99
Fri Jan 5 2018,10:30p,CHO,108,LAL,94
Fri Jan 5 2018,9:30p,WAS,102,MEM,100
Fri Jan 5 2018,8:00p,NYK,103,MIA,107
Fri Jan 5 2018,8:00p,TOR,129,MIL,110
Fri Jan 5 2018,7:00p,DET,78,PHI,114
Fri Jan 5 2018,10:00p,ATL,89,POR,110
Fri Jan 5 2018,8:30p,PHO,89,SAS,103
Sat Jan 6 2018,6:00p,BOS,87,BRK,85
Sat Jan 6 2018,7:00p,HOU,101,DET,108
Sat Jan 6 2018,7:00p,CHI,86,IND,125
Sat Jan 6 2018,3:30p,GSW,121,LAC,105
Sat Jan 6 2018,9:00p,NOP,98,MIN,116
Sat Jan 6 2018,7:00p,CLE,131,ORL,127
Sat Jan 6 2018,10:00p,DEN,98,SAC,106
Sat Jan 6 2018,8:00p,MIL,110,WAS,103
Sun Jan 7 2018,7:00p,NYK,100,DAL,96
Sun Jan 7 2018,9:30p,ATL,113,LAL,132
Sun Jan 7 2018,3:30p,UTA,102,MIA,103
Sun Jan 7 2018,8:00p,OKC,100,PHO,114
Sun Jan 7 2018,9:00p,SAS,110,POR,111
Mon Jan 8 2018,7:30p,TOR,114,BRK,113
Mon Jan 8 2018,8:00p,HOU,116,CHI,107
Mon Jan 8 2018,10:30p,DEN,114,GSW,124
Mon Jan 8 2018,7:00p,MIL,96,IND,109
Mon Jan 8 2018,10:30p,ATL,107,LAC,108
Mon Jan 8 2018,8:00p,CLE,99,MIN,127
Mon Jan 8 2018,8:00p,DET,109,NOP,112
Mon Jan 8 2018,10:00p,SAS,107,SAC,100
Tue Jan 9 2018,8:30p,ORL,99,DAL,114
Tue Jan 9 2018,10:30p,SAC,86,LAL,99
Tue Jan 9 2018,8:00p,POR,117,OKC,106
Tue Jan 9 2018,7:30p,MIA,90,TOR,89
Wed Jan 10 2018,7:30p,DET,114,BRK,80
Wed Jan 10 2018,7:00p,DAL,115,CHO,111
Wed Jan 10 2018,9:00p,ATL,110,DEN,97
Wed Jan 10 2018,10:30p,LAC,125,GSW,106
Wed Jan 10 2018,8:00p,POR,112,HOU,121
Wed Jan 10 2018,7:00p,MIA,114,IND,106
Wed Jan 10 2018,8:00p,NOP,102,MEM,105
Wed Jan 10 2018,8:00p,ORL,103,MIL,110
Wed Jan 10 2018,8:00p,OKC,88,MIN,104
Wed Jan 10 2018,7:30p,CHI,122,NYK,119
Wed Jan 10 2018,7:00p,UTA,107,WAS,104
Thu Jan 11 2018,10:30p,SAS,81,LAL,93
Thu Jan 11 2018,3:00p,BOS,114,PHI,103
Thu Jan 11 2018,10:00p,LAC,121,SAC,115
Thu Jan 11 2018,8:00p,CLE,99,TOR,133
Fri Jan 12 2018,7:30p,BRK,110,ATL,105
Fri Jan 12 2018,7:00p,UTA,88,CHO,99
Fri Jan 12 2018,9:00p,MEM,78,DEN,87
Fri Jan 12 2018,7:00p,CLE,95,IND,97
Fri Jan 12 2018,8:00p,GSW,108,MIL,94
Fri Jan 12 2018,8:00p,NYK,108,MIN,118
Fri Jan 12 2018,8:00p,POR,113,NOP,119
Fri Jan 12 2018,10:30p,HOU,112,PHO,95
Fri Jan 12 2018,7:00p,ORL,119,WAS,125
Sat Jan 13 2018,8:00p,DET,105,CHI,107
Sat Jan 13 2018,5:00p,OKC,101,CHO,91
Sat Jan 13 2018,2:00p,LAL,107,DAL,101
Sat Jan 13 2018,3:30p,SAC,105,LAC,126
Sat Jan 13 2018,8:30p,DEN,80,SAS,112
Sat Jan 13 2018,7:30p,GSW,127,TOR,125
Sat Jan 13 2018,7:00p,BRK,113,WAS,119
Sun Jan 14 2018,1:00p,MIL,79,MIA,97
Sun Jan 14 2018,9:00p,POR,103,MIN,120
Sun Jan 14 2018,3:30p,NOP,123,NYK,118
Sun Jan 14 2018,8:00p,IND,120,PHO,97
Mon Jan 15 2018,3:00p,SAS,99,ATL,102
Mon Jan 15 2018,3:00p,NYK,119,BRK,104
Mon Jan 15 2018,3:30p,MIA,111,CHI,119
Mon Jan 15 2018,8:00p,GSW,118,CLE,108
Mon Jan 15 2018,12:30p,CHO,118,DET,107
Mon Jan 15 2018,10:30p,HOU,102,LAC,113
Mon Jan 15 2018,5:30p,LAL,114,MEM,123
Mon Jan 15 2018,8:00p,SAC,88,OKC,95
Mon Jan 15 2018,1:00p,TOR,111,PHI,117
Mon Jan 15 2018,9:00p,IND,109,UTA,94
Mon Jan 15 2018,2:00p,MIL,104,WAS,95
Tue Jan 16 2018,7:30p,NOP,116,BOS,113
Tue Jan 16 2018,9:00p,DAL,102,DEN,105
Tue Jan 16 2018,7:00p,MIN,102,ORL,108
Tue Jan 16 2018,10:00p,PHO,111,POR,118
Wed Jan 17 2018,7:30p,NOP,93,ATL,94
Wed Jan 17 2018,7:30p,SAS,100,BRK,95
Wed Jan 17 2018,8:00p,GSW,119,CHI,112
Wed Jan 17 2018,7:00p,WAS,109,CHO,133
Wed Jan 17 2018,10:30p,DEN,104,LAC,109
Wed Jan 17 2018,8:00p,NYK,99,MEM,105
Wed Jan 17 2018,8:00p,MIA,106,MIL,101
Wed Jan 17 2018,8:00p,LAL,90,OKC,114
Wed Jan 17 2018,10:00p,UTA,120,SAC,105
Wed Jan 17 2018,7:30p,DET,91,TOR,96
Thu Jan 18 2018,7:00p,PHI,89,BOS,80
Thu Jan 18 2018,7:00p,ORL,103,CLE,104
Thu Jan 18 2018,9:30p,MIN,98,HOU,116
Thu Jan 18 2018,10:00p,IND,86,POR,100
Fri Jan 19 2018,7:30p,MIA,95,BRK,101
Fri Jan 19 2018,9:00p,PHO,108,DEN,100
Fri Jan 19 2018,8:00p,WAS,122,DET,112
Fri Jan 19 2018,10:30p,IND,86,LAL,99
Fri Jan 19 2018,8:00p,SAC,88,MEM,106
Fri Jan 19 2018,7:00p,SAS,83,TOR,86
Fri Jan 19 2018,10:30p,NYK,117,UTA,115
Sat Jan 20 2018,5:00p,CHI,113,ATL,97
Sat Jan 20 2018,7:00p,MIA,106,CHO,105
Sat Jan 20 2018,3:30p,OKC,148,CLE,124
Sat Jan 20 2018,8:30p,GSW,108,HOU,116
Sat Jan 20 2018,9:00p,TOR,109,MIN,115
Sat Jan 20 2018,7:00p,MEM,104,NOP,111
Sat Jan 20 2018,7:30p,MIL,94,PHI,116
Sat Jan 20 2018,10:00p,DAL,108,POR,117
Sat Jan 20 2018,9:00p,LAC,113,UTA,125
Sun Jan 21 2018,1:00p,ORL,103,BOS,95
Sun Jan 21 2018,4:00p,BRK,101,DET,100
Sun Jan 21 2018,3:30p,NYK,107,LAL,127
Sun Jan 21 2018,7:00p,IND,94,SAS,86
Mon Jan 22 2018,7:30p,UTA,90,ATL,104
Mon Jan 22 2018,7:00p,SAC,107,CHO,112
Mon Jan 22 2018,8:30p,WAS,75,DAL,98
Mon Jan 22 2018,9:00p,POR,101,DEN,104
Mon Jan 22 2018,8:00p,MIA,90,HOU,99
Mon Jan 22 2018,10:30p,MIN,126,LAC,118
Mon Jan 22 2018,8:00p,PHI,101,MEM,105
Mon Jan 22 2018,8:00p,PHO,105,MIL,109
Mon Jan 22 2018,8:00p,CHI,128,NOP,132
Tue Jan 23 2018,10:30p,NYK,112,GSW,123
Tue Jan 23 2018,10:30p,BOS,107,LAL,108
Tue Jan 23 2018,8:00p,BRK,108,OKC,109
Tue Jan 23 2018,7:00p,SAC,105,ORL,99
Tue Jan 23 2018,8:00p,CLE,102,SAS,114
Wed Jan 24 2018,7:30p,TOR,108,ATL,93
Wed Jan 24 2018,7:00p,NOP,101,CHO,96
Wed Jan 24 2018,8:00p,HOU,104,DAL,97
Wed Jan 24 2018,7:00p,UTA,98,DET,95
Wed Jan 24 2018,7:00p,PHO,101,IND,116
Wed Jan 24 2018,10:30p,BOS,113,LAC,102
Wed Jan 24 2018,8:00p,SAS,108,MEM,85
Wed Jan 24 2018,7:00p,CHI,101,PHI,115
Wed Jan 24 2018,10:00p,MIN,114,POR,123
Thu Jan 25 2018,9:00p,NYK,118,DEN,130
Thu Jan 25 2018,10:30p,MIN,113,GSW,126
Thu Jan 25 2018,7:30p,SAC,89,MIA,88
Thu Jan 25 2018,8:00p,WAS,112,OKC,121
Fri Jan 26 2018,8:00p,LAL,108,CHI,103
Fri Jan 26 2018,7:00p,ATL,110,CHO,121
Fri Jan 26 2018,7:30p,IND,108,CLE,115
Fri Jan 26 2018,8:30p,POR,107,DAL,93
Fri Jan 26 2018,8:00p,LAC,109,MEM,100
Fri Jan 26 2018,8:00p,BRK,91,MIL,116
Fri Jan 26 2018,8:00p,HOU,113,NOP,115
Fri Jan 26 2018,9:00p,NYK,107,PHO,85
Fri Jan 26 2018,8:30p,PHI,97,SAS,78
Fri Jan 26 2018,7:30p,UTA,97,TOR,93
Sat Jan 27 2018,7:30p,WAS,129,ATL,104
Sat Jan 27 2018,9:00p,DAL,89,DEN,91
Sat Jan 27 2018,5:00p,OKC,121,DET,108
Sat Jan 27 2018,8:30p,BOS,105,GSW,109
Sat Jan 27 2018,7:00p,ORL,112,IND,114
Sat Jan 27 2018,7:30p,CHO,91,MIA,95
Sat Jan 27 2018,9:00p,BRK,97,MIN,111
Sun Jan 28 2018,3:30p,MIL,110,CHI,96
Sun Jan 28 2018,6:00p,DET,104,CLE,121
Sun Jan 28 2018,3:30p,PHO,102,HOU,113
Sun Jan 28 2018,4:00p,LAC,112,NOP,103
Sun Jan 28 2018,6:00p,PHI,112,OKC,122
Sun Jan 28 2018,7:00p,SAC,98,SAS,113
Sun Jan 28 2018,6:00p,LAL,111,TOR,123
Mon Jan 29 2018,7:30p,MIN,100,ATL,105
Mon Jan 29 2018,8:30p,MIA,95,DAL,88
Mon Jan 29 2018,9:00p,BOS,111,DEN,110
Mon Jan 29 2018,7:00p,CHO,96,IND,105
Mon Jan 29 2018,8:00p,PHO,109,MEM,120
Mon Jan 29 2018,8:00p,PHI,95,MIL,107
Tue Jan 30 2018,8:00p,CLE,114,DET,125
Tue Jan 30 2018,8:00p,ORL,107,HOU,114
Tue Jan 30 2018,10:30p,POR,104,LAC,96
Tue Jan 30 2018,8:00p,SAC,114,NOP,103
Tue Jan 30 2018,7:30p,BRK,95,NYK,111
Tue Jan 30 2018,8:30p,DEN,104,SAS,106
Tue Jan 30 2018,7:30p,MIN,104,TOR,109
Tue Jan 30 2018,9:00p,GSW,99,UTA,129
Tue Jan 30 2018,7:00p,OKC,96,WAS,102
Wed Jan 31 2018,7:30p,CHO,123,ATL,110
Wed Jan 31 2018,8:00p,NYK,73,BOS,103
Wed Jan 31 2018,7:30p,PHI,108,BRK,116
Wed Jan 31 2018,7:30p,MIA,89,CLE,91
Wed Jan 31 2018,7:00p,MEM,101,IND,105
Wed Jan 31 2018,7:00p,LAL,105,ORL,127
Wed Jan 31 2018,10:30p,DAL,88,PHO,102
Wed Jan 31 2018,10:00p,CHI,108,POR,124
Thu Feb 1 2018,10:30p,OKC,124,DEN,127
Thu Feb 1 2018,7:00p,MEM,102,DET,104
Thu Feb 1 2018,8:00p,MIL,89,MIN,108
Thu Feb 1 2018,8:00p,HOU,102,SAS,91
Thu Feb 1 2018,7:00p,TOR,119,WAS,122
Fri Feb 2 2018,7:30p,ATL,110,BOS,119
Fri Feb 2 2018,7:30p,LAL,102,BRK,99
Fri Feb 2 2018,7:00p,IND,126,CHO,133
Fri Feb 2 2018,8:00p,NYK,90,MIL,92
Fri Feb 2 2018,9:00p,NOP,114,OKC,100
Fri Feb 2 2018,8:00p,MIA,97,PHI,103
Fri Feb 2 2018,9:00p,UTA,129,PHO,97
Fri Feb 2 2018,10:30p,GSW,119,SAC,104
Fri Feb 2 2018,7:30p,POR,105,TOR,130
Sat Feb 3 2018,8:30p,HOU,120,CLE,88
Sat Feb 3 2018,9:00p,GSW,108,DEN,115
Sat Feb 3 2018,7:00p,MIA,107,DET,111
Sat Feb 3 2018,7:00p,PHI,92,IND,100
Sat Feb 3 2018,3:30p,CHI,103,LAC,113
Sat Feb 3 2018,9:00p,NOP,107,MIN,118
Sat Feb 3 2018,7:00p,WAS,115,ORL,98
Sat Feb 3 2018,10:00p,DAL,106,SAC,99
Sat Feb 3 2018,9:00p,UTA,120,SAS,111
Sun Feb 4 2018,12:00p,POR,96,BOS,97
Sun Feb 4 2018,12:00p,MIL,109,BRK,94
Sun Feb 4 2018,12:00p,ATL,99,NYK,96
Sun Feb 4 2018,2:00p,LAL,108,OKC,104
Sun Feb 4 2018,3:00p,CHO,115,PHO,110
Sun Feb 4 2018,12:00p,MEM,86,TOR,101
Mon Feb 5 2018,9:00p,CHO,104,DEN,121
Mon Feb 5 2018,7:00p,POR,91,DET,111
Mon Feb 5 2018,7:00p,WAS,111,IND,102
Mon Feb 5 2018,10:30p,DAL,101,LAC,104
Mon Feb 5 2018,7:30p,ORL,111,MIA,109
Mon Feb 5 2018,8:00p,UTA,133,NOP,109
Mon Feb 5 2018,10:00p,CHI,98,SAC,104
Tue Feb 6 2018,7:30p,MEM,82,ATL,108
Tue Feb 6 2018,7:30p,HOU,123,BRK,113
Tue Feb 6 2018,10:30p,OKC,125,GSW,105
Tue Feb 6 2018,10:30p,PHO,93,LAL,112
Tue Feb 6 2018,7:30p,MIL,103,NYK,89
Tue Feb 6 2018,7:00p,CLE,98,ORL,116
Tue Feb 6 2018,8:00p,WAS,102,PHI,115
Tue Feb 6 2018,7:30p,BOS,91,TOR,111
Wed Feb 7 2018,8:00p,MIN,138,CLE,140
Wed Feb 7 2018,7:00p,BRK,106,DET,115
Wed Feb 7 2018,8:00p,UTA,92,MEM,88
Wed Feb 7 2018,7:30p,HOU,109,MIA,101
Wed Feb 7 2018,10:30p,SAS,129,PHO,81
Thu Feb 8 2018,10:30p,DAL,103,GSW,121
Thu Feb 8 2018,10:30p,OKC,81,LAL,106
Thu Feb 8 2018,7:00p,ATL,98,ORL,100
Thu Feb 8 2018,10:00p,CHO,103,POR,109
Thu Feb 8 2018,7:30p,NYK,88,TOR,113
Thu Feb 8 2018,8:00p,BOS,110,WAS,104
Fri Feb 9 2018,7:30p,CLE,123,ATL,107
Fri Feb 9 2018,7:30p,IND,97,BOS,91
Fri Feb 9 2018,9:30p,MIN,113,CHI,114
Fri Feb 9 2018,7:00p,LAC,108,DET,95
Fri Feb 9 2018,8:00p,DEN,104,HOU,130
Fri Feb 9 2018,8:00p,MIL,85,MIA,91
Fri Feb 9 2018,7:00p,NOP,82,PHI,100
Fri Feb 9 2018,10:30p,POR,118,SAC,100
Fri Feb 9 2018,9:00p,CHO,94,UTA,106
Sat Feb 10 2018,6:00p,NOP,138,BRK,128
Sat Feb 10 2018,8:00p,WAS,101,CHI,90
Sat Feb 10 2018,8:30p,LAL,123,DAL,130
Sat Feb 10 2018,8:30p,SAS,105,GSW,122
Sat Feb 10 2018,7:00p,MIL,111,ORL,104
Sat Feb 10 2018,7:00p,LAC,98,PHI,112
Sat Feb 10 2018,9:00p,DEN,123,PHO,113
Sun Feb 11 2018,3:30p,DET,115,ATL,118
Sun Feb 11 2018,3:30p,CLE,121,BOS,99
Sun Feb 11 2018,1:00p,TOR,123,CHO,103
Sun Feb 11 2018,7:00p,DAL,97,HOU,104
Sun Feb 11 2018,5:00p,NYK,113,IND,121
Sun Feb 11 2018,7:00p,SAC,106,MIN,111
Sun Feb 11 2018,7:00p,MEM,92,OKC,110
Sun Feb 11 2018,9:00p,UTA,115,POR,96
Mon Feb 12 2018,7:30p,LAC,114,BRK,101
Mon Feb 12 2018,8:00p,ORL,101,CHI,105
Mon Feb 12 2018,7:00p,NOP,118,DET,103
Mon Feb 12 2018,10:30p,PHO,83,GSW,129
Mon Feb 12 2018,7:00p,NYK,92,PHI,108
Mon Feb 12 2018,9:00p,SAS,99,UTA,101
Tue Feb 13 2018,8:30p,SAC,114,DAL,109
Tue Feb 13 2018,10:30p,SAS,109,DEN,117
Tue Feb 13 2018,8:00p,ATL,92,MIL,97
Tue Feb 13 2018,8:00p,HOU,126,MIN,108
Tue Feb 13 2018,8:00p,CLE,120,OKC,112
Tue Feb 13 2018,7:00p,MIA,112,TOR,115
Wed Feb 14 2018,8:00p,LAC,129,BOS,119
Wed Feb 14 2018,7:30p,IND,108,BRK,103
Wed Feb 14 2018,8:00p,TOR,122,CHI,98
Wed Feb 14 2018,7:00p,ATL,98,DET,104
Wed Feb 14 2018,8:00p,SAC,91,HOU,100
Wed Feb 14 2018,8:00p,OKC,121,MEM,114
Wed Feb 14 2018,8:00p,LAL,117,NOP,139
Wed Feb 14 2018,7:30p,WAS,118,NYK,113
Wed Feb 14 2018,7:00p,CHO,104,ORL,102
Wed Feb 14 2018,7:00p,MIA,102,PHI,104
Wed Feb 14 2018,10:30p,GSW,117,POR,123
Wed Feb 14 2018,9:00p,PHO,97,UTA,107
Thu Feb 15 2018,8:00p,DEN,134,MIL,123
Thu Feb 15 2018,9:00p,LAL,111,MIN,119
Thu Feb 22 2018,8:00p,PHI,116,CHI,115
Thu Feb 22 2018,7:00p,BRK,96,CHO,111
Thu Feb 22 2018,8:00p,WAS,110,CLE,103
Thu Feb 22 2018,10:30p,LAC,127,GSW,134
Thu Feb 22 2018,7:00p,NYK,120,ORL,113
Thu Feb 22 2018,10:00p,OKC,110,SAC,107
Fri Feb 23 2018,9:00p,SAS,119,DEN,122
Fri Feb 23 2018,7:00p,BOS,110,DET,98
Fri Feb 23 2018,8:00p,MIN,102,HOU,120
