,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
0,201710170CLE,Boston,BOS,99,Cleveland,CLE,102,Cleveland,CLE,Boston,BOS
1,201710180BOS,Milwaukee,MIL,108,Boston,BOS,100,Milwaukee,MIL,Boston,BOS
2,201710180DAL,Atlanta,ATL,117,Dallas,DAL,111,Atlanta,ATL,Dallas,DAL
3,201710180DET,Charlotte,CHO,90,Detroit,DET,102,Detroit,DET,Charlotte,CHO
4,201710180IND,Brooklyn,BRK,131,Indiana,IND,140,Indiana,IND,Brooklyn,BRK
5,201710180MEM,New Orleans,NOP,91,Memphis,MEM,103,Memphis,MEM,New Orleans,NOP
6,201710180ORL,Miami,MIA,109,Orlando,ORL,116,Orlando,ORL,Miami,MIA
7,201710180PHO,Portland,POR,124,Phoenix,PHO,76,Portland,POR,Phoenix,PHO
8,201710180SAC,Houston,HOU,105,Sacramento,SAC,100,Houston,HOU,Sacramento,SAC
9,201710180SAS,Minnesota,MIN,99,San Antonio,SAS,107,San Antonio,SAS,Minnesota,MIN
10,201710180UTA,Denver,DEN,96,Utah,UTA,106,Utah,UTA,Denver,DEN
11,201710190LAL,LA Clippers,LAC,108,LA Lakers,LAL,92,LA Clippers,LAC,LA Lakers,LAL
12,201710190OKC,New York,NYK,84,Oklahoma City,OKC,105,Oklahoma City,OKC,New York,NYK
13,201710200BRK,Orlando,ORL,121,Brooklyn,BRK,126,Brooklyn,BRK,Orlando,ORL
14,201710200CHO,Atlanta,ATL,91,Charlotte,CHO,109,Charlotte,CHO,Atlanta,ATL
15,201710200DAL,Sacramento,SAC,93,Dallas,DAL,88,Sacramento,SAC,Dallas,DAL
16,201710200IND,Portland,POR,114,Indiana,IND,96,Portland,POR,Indiana,IND
17,201710200MIL,Cleveland,CLE,116,Milwaukee,MIL,97,Cleveland,CLE,Milwaukee,MIL
18,201710200MIN,Utah,UTA,97,Minnesota,MIN,100,Minnesota,MIN,Utah,UTA
19,201710200NOP,Golden State,GSW,128,New Orleans,NOP,120,Golden State,GSW,New Orleans,NOP
20,201710200PHI,Boston,BOS,102,Philadelphia,PHI,92,Boston,BOS,Philadelphia,PHI
21,201710200PHO,LA Lakers,LAL,132,Phoenix,PHO,130,LA Lakers,LAL,Phoenix,PHO
22,201710210CHI,San Antonio,SAS,87,Chicago,CHI,77,San Antonio,SAS,Chicago,CHI
23,201710210CLE,Orlando,ORL,114,Cleveland,CLE,93,Orlando,ORL,Cleveland,CLE
24,201710210DEN,Sacramento,SAC,79,Denver,DEN,96,Denver,DEN,Sacramento,SAC
25,201710210HOU,Dallas,DAL,91,Houston,HOU,107,Houston,HOU,Dallas,DAL
26,201710210LAC,Phoenix,PHO,88,LA Clippers,LAC,130,LA Clippers,LAC,Phoenix,PHO
27,201710210MEM,Golden State,GSW,101,Memphis,MEM,111,Memphis,MEM,Golden State,GSW
28,201710210MIA,Indiana,IND,108,Miami,MIA,112,Miami,MIA,Indiana,IND
29,201710210MIL,Portland,POR,110,Milwaukee,MIL,113,Milwaukee,MIL,Portland,POR
30,201710210NYK,Detroit,DET,111,New York,NYK,107,Detroit,DET,New York,NYK
31,201710210TOR,Philadelphia,PHI,94,Toronto,TOR,128,Toronto,TOR,Philadelphia,PHI
32,201710220BRK,Atlanta,ATL,104,Brooklyn,BRK,116,Brooklyn,BRK,Atlanta,ATL
33,201710220LAL,New Orleans,NOP,119,LA Lakers,LAL,112,New Orleans,NOP,LA Lakers,LAL
34,201710230DAL,Golden State,GSW,133,Dallas,DAL,103,Golden State,GSW,Dallas,DAL
35,201710230DEN,Washington,WAS,109,Denver,DEN,104,Washington,WAS,Denver,DEN
36,201710230DET,Philadelphia,PHI,97,Detroit,DET,86,Philadelphia,PHI,Detroit,DET
37,201710230HOU,Memphis,MEM,98,Houston,HOU,90,Memphis,MEM,Houston,HOU
38,201710230MIA,Atlanta,ATL,93,Miami,MIA,104,Miami,MIA,Atlanta,ATL
39,201710230MIL,Charlotte,CHO,94,Milwaukee,MIL,103,Milwaukee,MIL,Charlotte,CHO
40,201710230PHO,Sacramento,SAC,115,Phoenix,PHO,117,Phoenix,PHO,Sacramento,SAC
41,201710240BOS,New York,NYK,89,Boston,BOS,110,Boston,BOS,New York,NYK
42,201710240CLE,Chicago,CHI,112,Cleveland,CLE,119,Cleveland,CLE,Chicago,CHI
43,201710240LAC,Utah,UTA,84,LA Clippers,LAC,102,LA Clippers,LAC,Utah,UTA
44,201710240MIN,Indiana,IND,130,Minnesota,MIN,107,Indiana,IND,Minnesota,MIN
45,201710240ORL,Brooklyn,BRK,121,Orlando,ORL,125,Orlando,ORL,Brooklyn,BRK
46,201710250BRK,Cleveland,CLE,107,Brooklyn,BRK,112,Brooklyn,BRK,Cleveland,CLE
47,201710250CHO,Denver,DEN,93,Charlotte,CHO,110,Charlotte,CHO,Denver,DEN
48,201710250DAL,Memphis,MEM,94,Dallas,DAL,103,Dallas,DAL,Memphis,MEM
49,201710250DET,Minnesota,MIN,101,Detroit,DET,122,Detroit,DET,Minnesota,MIN
50,201710250GSW,Toronto,TOR,112,Golden State,GSW,117,Golden State,GSW,Toronto,TOR
51,201710250LAL,Washington,WAS,99,LA Lakers,LAL,102,LA Lakers,LAL,Washington,WAS
52,201710250MIA,San Antonio,SAS,117,Miami,MIA,100,San Antonio,SAS,Miami,MIA
53,201710250OKC,Indiana,IND,96,Oklahoma City,OKC,114,Oklahoma City,OKC,Indiana,IND
54,201710250PHI,Houston,HOU,105,Philadelphia,PHI,104,Houston,HOU,Philadelphia,PHI
55,201710260CHI,Atlanta,ATL,86,Chicago,CHI,91,Chicago,CHI,Atlanta,ATL
56,201710260MEM,Dallas,DAL,91,Memphis,MEM,96,Memphis,MEM,Dallas,DAL
57,201710260MIL,Boston,BOS,96,Milwaukee,MIL,89,Boston,BOS,Milwaukee,MIL
58,201710260POR,LA Clippers,LAC,104,Portland,POR,103,LA Clippers,LAC,Portland,POR
59,201710270ATL,Denver,DEN,105,Atlanta,ATL,100,Denver,DEN,Atlanta,ATL
60,201710270CHO,Houston,HOU,109,Charlotte,CHO,93,Houston,HOU,Charlotte,CHO
61,201710270GSW,Washington,WAS,117,Golden State,GSW,120,Golden State,GSW,Washington,WAS
62,201710270LAL,Toronto,TOR,101,LA Lakers,LAL,92,Toronto,TOR,LA Lakers,LAL
63,201710270MIN,Oklahoma City,OKC,116,Minnesota,MIN,119,Minnesota,MIN,Oklahoma City,OKC
64,201710270NYK,Brooklyn,BRK,86,New York,NYK,107,New York,NYK,Brooklyn,BRK
65,201710280CHI,Oklahoma City,OKC,101,Chicago,CHI,69,Oklahoma City,OKC,Chicago,CHI
66,201710280DAL,Philadelphia,PHI,112,Dallas,DAL,110,Philadelphia,PHI,Dallas,DAL
67,201710280LAC,Detroit,DET,95,LA Clippers,LAC,87,Detroit,DET,LA Clippers,LAC
68,201710280MEM,Houston,HOU,89,Memphis,MEM,103,Memphis,MEM,Houston,HOU
69,201710280MIA,Boston,BOS,96,Miami,MIA,90,Boston,BOS,Miami,MIA
70,201710280NOP,Cleveland,CLE,101,New Orleans,NOP,123,New Orleans,NOP,Cleveland,CLE
71,201710280POR,Phoenix,PHO,107,Portland,POR,114,Portland,POR,Phoenix,PHO
72,201710290ATL,Milwaukee,MIL,117,Atlanta,ATL,106,Milwaukee,MIL,Atlanta,ATL
73,201710290BRK,Denver,DEN,124,Brooklyn,BRK,111,Denver,DEN,Brooklyn,BRK
74,201710290CHO,Orlando,ORL,113,Charlotte,CHO,120,Charlotte,CHO,Orlando,ORL
75,201710290CLE,New York,NYK,114,Cleveland,CLE,95,New York,NYK,Cleveland,CLE
76,201710290GSW,Detroit,DET,115,Golden State,GSW,107,Detroit,DET,Golden State,GSW
77,201710290IND,San Antonio,SAS,94,Indiana,IND,97,Indiana,IND,San Antonio,SAS
78,201710300BOS,San Antonio,SAS,94,Boston,BOS,108,Boston,BOS,San Antonio,SAS
79,201710300HOU,Philadelphia,PHI,115,Houston,HOU,107,Philadelphia,PHI,Houston,HOU
80,201710300LAC,Golden State,GSW,141,LA Clippers,LAC,113,Golden State,GSW,LA Clippers,LAC
81,201710300MEM,Charlotte,CHO,104,Memphis,MEM,99,Charlotte,CHO,Memphis,MEM
82,201710300MIA,Minnesota,MIN,125,Miami,MIA,122,Minnesota,MIN,Miami,MIA
83,201710300NOP,Orlando,ORL,115,New Orleans,NOP,99,Orlando,ORL,New Orleans,NOP
84,201710300NYK,Denver,DEN,110,New York,NYK,116,New York,NYK,Denver,DEN
85,201710300POR,Toronto,TOR,99,Portland,POR,85,Toronto,TOR,Portland,POR
86,201710310BRK,Phoenix,PHO,122,Brooklyn,BRK,114,Phoenix,PHO,Brooklyn,BRK
87,201710310IND,Sacramento,SAC,83,Indiana,IND,101,Indiana,IND,Sacramento,SAC
88,201710310LAL,Detroit,DET,93,LA Lakers,LAL,113,LA Lakers,LAL,Detroit,DET
89,201711010BOS,Sacramento,SAC,86,Boston,BOS,113,Boston,BOS,Sacramento,SAC
90,201711010CHO,Milwaukee,MIL,121,Charlotte,CHO,126,Charlotte,CHO,Milwaukee,MIL
91,201711010CLE,Indiana,IND,124,Cleveland,CLE,107,Indiana,IND,Cleveland,CLE
92,201711010DEN,Toronto,TOR,111,Denver,DEN,129,Denver,DEN,Toronto,TOR
93,201711010LAC,Dallas,DAL,98,LA Clippers,LAC,119,LA Clippers,LAC,Dallas,DAL
94,201711010MEM,Orlando,ORL,101,Memphis,MEM,99,Orlando,ORL,Memphis,MEM
95,201711010MIA,Chicago,CHI,91,Miami,MIA,97,Miami,MIA,Chicago,CHI
96,201711010NOP,Minnesota,MIN,104,New Orleans,NOP,98,Minnesota,MIN,New Orleans,NOP
97,201711010NYK,Houston,HOU,119,New York,NYK,97,Houston,HOU,New York,NYK
98,201711010PHI,Atlanta,ATL,109,Philadelphia,PHI,119,Philadelphia,PHI,Atlanta,ATL
99,201711010UTA,Portland,POR,103,Utah,UTA,112,Utah,UTA,Portland,POR
100,201711020POR,LA Lakers,LAL,110,Portland,POR,113,Portland,POR,LA Lakers,LAL
101,201711030ATL,Houston,HOU,119,Atlanta,ATL,104,Houston,HOU,Atlanta,ATL
102,201711030DAL,New Orleans,NOP,99,Dallas,DAL,94,New Orleans,NOP,Dallas,DAL
103,201711030DEN,Miami,MIA,94,Denver,DEN,95,Denver,DEN,Miami,MIA
104,201711030DET,Milwaukee,MIL,96,Detroit,DET,105,Detroit,DET,Milwaukee,MIL
105,201711030LAL,Brooklyn,BRK,112,LA Lakers,LAL,124,LA Lakers,LAL,Brooklyn,BRK
106,201711030NYK,Phoenix,PHO,107,New York,NYK,120,New York,NYK,Phoenix,PHO
107,201711030OKC,Boston,BOS,101,Oklahoma City,OKC,94,Boston,BOS,Oklahoma City,OKC
108,201711030ORL,Chicago,CHI,105,Orlando,ORL,83,Chicago,CHI,Orlando,ORL
109,201711030PHI,Indiana,IND,110,Philadelphia,PHI,121,Philadelphia,PHI,Indiana,IND
110,201711030SAS,Charlotte,CHO,101,San Antonio,SAS,108,San Antonio,SAS,Charlotte,CHO
111,201711030UTA,Toronto,TOR,109,Utah,UTA,100,Toronto,TOR,Utah,UTA
112,201711040CHI,New Orleans,NOP,96,Chicago,CHI,90,New Orleans,NOP,Chicago,CHI
113,201711040DEN,Golden State,GSW,127,Denver,DEN,108,Golden State,GSW,Denver,DEN
114,201711040DET,Sacramento,SAC,99,Detroit,DET,108,Detroit,DET,Sacramento,SAC
115,201711040LAC,Memphis,MEM,113,LA Clippers,LAC,104,Memphis,MEM,LA Clippers,LAC
116,201711050CLE,Atlanta,ATL,117,Cleveland,CLE,115,Atlanta,ATL,Cleveland,CLE
117,201711050HOU,Utah,UTA,110,Houston,HOU,137,Houston,HOU,Utah,UTA
118,201711050LAC,Miami,MIA,104,LA Clippers,LAC,101,Miami,MIA,LA Clippers,LAC
119,201711050LAL,Memphis,MEM,102,LA Lakers,LAL,107,LA Lakers,LAL,Memphis,MEM
120,201711050MIN,Charlotte,CHO,94,Minnesota,MIN,112,Minnesota,MIN,Charlotte,CHO
121,201711050NYK,Indiana,IND,101,New York,NYK,108,New York,NYK,Indiana,IND
122,201711050ORL,Boston,BOS,104,Orlando,ORL,88,Boston,BOS,Orlando,ORL
123,201711050POR,Oklahoma City,OKC,99,Portland,POR,103,Portland,POR,Oklahoma City,OKC
124,201711050SAS,Phoenix,PHO,95,San Antonio,SAS,112,San Antonio,SAS,Phoenix,PHO
125,201711060ATL,Boston,BOS,110,Atlanta,ATL,107,Boston,BOS,Atlanta,ATL
126,201711060GSW,Miami,MIA,80,Golden State,GSW,97,Golden State,GSW,Miami,MIA
127,201711070CLE,Milwaukee,MIL,119,Cleveland,CLE,124,Cleveland,CLE,Milwaukee,MIL
128,201711070DEN,Brooklyn,BRK,104,Denver,DEN,112,Denver,DEN,Brooklyn,BRK
129,201711070IND,New Orleans,NOP,117,Indiana,IND,112,New Orleans,NOP,Indiana,IND
130,201711070NYK,Charlotte,CHO,113,New York,NYK,118,New York,NYK,Charlotte,CHO
131,201711070POR,Memphis,MEM,98,Portland,POR,97,Memphis,MEM,Portland,POR
132,201711070SAC,Oklahoma City,OKC,86,Sacramento,SAC,94,Sacramento,SAC,Oklahoma City,OKC
133,201711070SAS,LA Clippers,LAC,107,San Antonio,SAS,120,San Antonio,SAS,LA Clippers,LAC
134,201711070TOR,Chicago,CHI,114,Toronto,TOR,119,Toronto,TOR,Chicago,CHI
135,201711070UTA,Philadelphia,PHI,104,Utah,UTA,97,Philadelphia,PHI,Utah,UTA
136,201711080BOS,LA Lakers,LAL,96,Boston,BOS,107,Boston,BOS,LA Lakers,LAL
137,201711080DET,Indiana,IND,97,Detroit,DET,114,Detroit,DET,Indiana,IND
138,201711080GSW,Minnesota,MIN,101,Golden State,GSW,125,Golden State,GSW,Minnesota,MIN
139,201711080ORL,New York,NYK,99,Orlando,ORL,112,Orlando,ORL,New York,NYK
140,201711090DEN,Oklahoma City,OKC,94,Denver,DEN,102,Denver,DEN,Oklahoma City,OKC
141,201711090HOU,Cleveland,CLE,113,Houston,HOU,117,Houston,HOU,Cleveland,CLE
142,201711090SAC,Philadelphia,PHI,108,Sacramento,SAC,109,Sacramento,SAC,Philadelphia,PHI
143,201711090TOR,New Orleans,NOP,118,Toronto,TOR,122,Toronto,TOR,New Orleans,NOP
144,201711100BOS,Charlotte,CHO,87,Boston,BOS,90,Boston,BOS,Charlotte,CHO
145,201711100CHI,Indiana,IND,105,Chicago,CHI,87,Indiana,IND,Chicago,CHI
146,201711100DET,Atlanta,ATL,104,Detroit,DET,111,Detroit,DET,Atlanta,ATL
147,201711100OKC,LA Clippers,LAC,111,Oklahoma City,OKC,120,Oklahoma City,OKC,LA Clippers,LAC
148,201711100PHO,Orlando,ORL,128,Phoenix,PHO,112,Orlando,ORL,Phoenix,PHO
149,201711100POR,Brooklyn,BRK,101,Portland,POR,97,Brooklyn,BRK,Portland,POR
150,201711100SAS,Milwaukee,MIL,94,San Antonio,SAS,87,Milwaukee,MIL,San Antonio,SAS
151,201711110DAL,Cleveland,CLE,111,Dallas,DAL,104,Cleveland,CLE,Dallas,DAL
152,201711110DEN,Orlando,ORL,107,Denver,DEN,125,Denver,DEN,Orlando,ORL
153,201711110GSW,Philadelphia,PHI,114,Golden State,GSW,135,Golden State,GSW,Philadelphia,PHI
154,201711110HOU,Memphis,MEM,96,Houston,HOU,111,Houston,HOU,Memphis,MEM
155,201711110MIL,LA Lakers,LAL,90,Milwaukee,MIL,98,Milwaukee,MIL,LA Lakers,LAL
156,201711110NOP,LA Clippers,LAC,103,New Orleans,NOP,111,New Orleans,NOP,LA Clippers,LAC
157,201711110NYK,Sacramento,SAC,91,New York,NYK,118,New York,NYK,Sacramento,SAC
158,201711110PHO,Minnesota,MIN,110,Phoenix,PHO,118,Phoenix,PHO,Minnesota,MIN
159,201711110SAS,Chicago,CHI,94,San Antonio,SAS,133,San Antonio,SAS,Chicago,CHI
160,201711110UTA,Brooklyn,BRK,106,Utah,UTA,114,Utah,UTA,Brooklyn,BRK
161,201711120BOS,Toronto,TOR,94,Boston,BOS,95,Boston,BOS,Toronto,TOR
162,201711120DET,Miami,MIA,103,Detroit,DET,112,Detroit,DET,Miami,MIA
163,201711120IND,Houston,HOU,118,Indiana,IND,95,Houston,HOU,Indiana,IND
164,201711130GSW,Orlando,ORL,100,Golden State,GSW,110,Golden State,GSW,Orlando,ORL
165,201711130LAC,Philadelphia,PHI,109,LA Clippers,LAC,105,Philadelphia,PHI,LA Clippers,LAC
166,201711130MIL,Memphis,MEM,103,Milwaukee,MIL,110,Milwaukee,MIL,Memphis,MEM
167,201711130NOP,Atlanta,ATL,105,New Orleans,NOP,106,New Orleans,NOP,Atlanta,ATL
168,201711130NYK,Cleveland,CLE,104,New York,NYK,101,Cleveland,CLE,New York,NYK
169,201711130PHO,LA Lakers,LAL,100,Phoenix,PHO,93,LA Lakers,LAL,Phoenix,PHO
170,201711130POR,Denver,DEN,82,Portland,POR,99,Portland,POR,Denver,DEN
171,201711130UTA,Minnesota,MIN,109,Utah,UTA,98,Minnesota,MIN,Utah,UTA
172,201711140BRK,Boston,BOS,109,Brooklyn,BRK,102,Boston,BOS,Brooklyn,BRK
173,201711140DAL,San Antonio,SAS,97,Dallas,DAL,91,San Antonio,SAS,Dallas,DAL
174,201711150ATL,Sacramento,SAC,80,Atlanta,ATL,126,Atlanta,ATL,Sacramento,SAC
175,201711150CHO,Cleveland,CLE,115,Charlotte,CHO,107,Cleveland,CLE,Charlotte,CHO
176,201711150LAL,Philadelphia,PHI,115,LA Lakers,LAL,109,Philadelphia,PHI,LA Lakers,LAL
177,201711150MEM,Indiana,IND,116,Memphis,MEM,113,Indiana,IND,Memphis,MEM
178,201711150MIA,Washington,WAS,102,Miami,MIA,93,Washington,WAS,Miami,MIA
179,201711150MIL,Detroit,DET,95,Milwaukee,MIL,99,Milwaukee,MIL,Detroit,DET
180,201711150MIN,San Antonio,SAS,86,Minnesota,MIN,98,Minnesota,MIN,San Antonio,SAS
181,201711150NOP,Toronto,TOR,125,New Orleans,NOP,116,Toronto,TOR,New Orleans,NOP
182,201711150NYK,Utah,UTA,101,New York,NYK,106,New York,NYK,Utah,UTA
183,201711150OKC,Chicago,CHI,79,Oklahoma City,OKC,92,Oklahoma City,OKC,Chicago,CHI
184,201711160BOS,Golden State,GSW,88,Boston,BOS,92,Boston,BOS,Golden State,GSW
185,201711170BRK,Utah,UTA,107,Brooklyn,BRK,118,Brooklyn,BRK,Utah,UTA
186,201711170CHI,Charlotte,CHO,120,Chicago,CHI,123,Chicago,CHI,Charlotte,CHO
187,201711170CLE,LA Clippers,LAC,113,Cleveland,CLE,118,Cleveland,CLE,LA Clippers,LAC
188,201711170DAL,Minnesota,MIN,111,Dallas,DAL,87,Minnesota,MIN,Dallas,DAL
189,201711170DEN,New Orleans,NOP,114,Denver,DEN,146,Denver,DEN,New Orleans,NOP
190,201711170IND,Detroit,DET,100,Indiana,IND,107,Indiana,IND,Detroit,DET
191,201711170LAL,Phoenix,PHO,122,LA Lakers,LAL,113,Phoenix,PHO,LA Lakers,LAL
192,201711170SAC,Portland,POR,82,Sacramento,SAC,86,Sacramento,SAC,Portland,POR
193,201711170SAS,Oklahoma City,OKC,101,San Antonio,SAS,104,San Antonio,SAS,Oklahoma City,OKC
194,201711170TOR,New York,NYK,84,Toronto,TOR,107,Toronto,TOR,New York,NYK
195,201711180ATL,Boston,BOS,110,Atlanta,ATL,99,Boston,BOS,Atlanta,ATL
196,201711180CHO,LA Clippers,LAC,87,Charlotte,CHO,102,Charlotte,CHO,LA Clippers,LAC
197,201711180DAL,Milwaukee,MIL,79,Dallas,DAL,111,Dallas,DAL,Milwaukee,MIL
198,201711180MEM,Houston,HOU,105,Memphis,MEM,83,Houston,HOU,Memphis,MEM
199,201711180ORL,Utah,UTA,125,Orlando,ORL,85,Utah,UTA,Orlando,ORL
200,201711180PHI,Golden State,GSW,124,Philadelphia,PHI,116,Golden State,GSW,Philadelphia,PHI
201,201711190BRK,Golden State,GSW,118,Brooklyn,BRK,111,Golden State,GSW,Brooklyn,BRK
202,201711190LAL,Denver,DEN,109,LA Lakers,LAL,127,LA Lakers,LAL,Denver,DEN
203,201711190MIA,Indiana,IND,120,Miami,MIA,95,Indiana,IND,Miami,MIA
204,201711190MIN,Detroit,DET,100,Minnesota,MIN,97,Detroit,DET,Minnesota,MIN
205,201711190PHO,Chicago,CHI,105,Phoenix,PHO,113,Phoenix,PHO,Chicago,CHI
206,201711200CHO,Minnesota,MIN,102,Charlotte,CHO,118,Charlotte,CHO,Minnesota,MIN
207,201711200DAL,Boston,BOS,110,Dallas,DAL,102,Boston,BOS,Dallas,DAL
208,201711200DET,Cleveland,CLE,116,Detroit,DET,88,Cleveland,CLE,Detroit,DET
209,201711200MEM,Portland,POR,100,Memphis,MEM,92,Portland,POR,Memphis,MEM
210,201711200MIL,Washington,WAS,99,Milwaukee,MIL,88,Washington,WAS,Milwaukee,MIL
211,201711200NOP,Oklahoma City,OKC,107,New Orleans,NOP,114,New Orleans,NOP,Oklahoma City,OKC
212,201711200NYK,LA Clippers,LAC,85,New York,NYK,107,New York,NYK,LA Clippers,LAC
213,201711200ORL,Indiana,IND,105,Orlando,ORL,97,Indiana,IND,Orlando,ORL
214,201711200PHI,Utah,UTA,86,Philadelphia,PHI,107,Philadelphia,PHI,Utah,UTA
215,201711200SAC,Denver,DEN,114,Sacramento,SAC,98,Denver,DEN,Sacramento,SAC
216,201711220ATL,LA Clippers,LAC,116,Atlanta,ATL,103,LA Clippers,LAC,Atlanta,ATL
217,201711220CHO,Washington,WAS,124,Charlotte,CHO,129,Charlotte,CHO,Washington,WAS
218,201711220CLE,Brooklyn,BRK,109,Cleveland,CLE,119,Cleveland,CLE,Brooklyn,BRK
219,201711220HOU,Denver,DEN,95,Houston,HOU,125,Houston,HOU,Denver,DEN
220,201711220MEM,Dallas,DAL,95,Memphis,MEM,94,Dallas,DAL,Memphis,MEM
